id;marker1_x[m];marker1_y[m];marker1_z[m];marker2_x[m];marker2_y[m];marker2_z[m];marker3_x[m];marker3_y[m];marker3_z[m];marker4_x[m];marker4_y[m];marker4_z[m]
947;4.672189235687256;-7.3497748374938965;-6.332969665527344;4.707734107971191;-7.45407772064209;-6.3543596267700195;4.637815952301025;-7.409768104553223;-6.333698749542236;4.742470741271973;-7.370639324188232;-6.350586414337158
948;4.758335590362549;-7.105748176574707;-6.336086273193359;4.797725200653076;-7.209843635559082;-6.350671291351318;4.725493431091309;-7.166593074798584;-6.336856365203857;4.830169677734375;-7.125452518463135;-6.347783088684082
949;4.8453850746154785;-6.833650588989258;-6.337060451507568;4.889581203460693;-6.936390399932861;-6.346616744995117;4.8150634765625;-6.895789623260498;-6.337808132171631;4.91846227645874;-6.850693225860596;-6.34444522857666
950;4.9098920822143555;-6.621919631958008;-6.337225437164307;4.957321643829346;-6.723427772521973;-6.344049453735352;4.881434917449951;-6.684935569763184;-6.337851524353027;4.9836106300354;-6.6368889808654785;-6.3423919677734375
951;4.980564594268799;-6.384431838989258;-6.337493896484375;5.0308518409729;-6.484681129455566;-6.342111587524414;4.9538397789001465;-6.448203086853027;-6.337949752807617;5.054753303527832;-6.397444725036621;-6.340953350067139
952;5.053857803344727;-6.133876323699951;-6.338046073913574;5.106498718261719;-6.232972145080566;-6.341049671173096;5.028615474700928;-6.198249816894531;-6.338332176208496;5.128368854522705;-6.145200252532959;-6.34030818939209
953;5.133613586425781;-5.857944965362549;-6.339107513427734;5.188265800476074;-5.95597505569458;-6.340921401977539;5.109675407409668;-5.922815322875977;-6.339242458343506;5.208357334136963;-5.867776870727539;-6.340517520904541
954;5.212766647338867;-5.58194637298584;-6.340750217437744;5.268980979919434;-5.679100036621094;-6.341788291931152;5.189864158630371;-5.647189617156982;-6.340773105621338;5.287664890289307;-5.590591907501221;-6.341619968414307
955;5.291513442993164;-5.306067943572998;-6.343044281005859;5.3489580154418945;-5.402503967285156;-6.343578338623047;5.269439697265625;-5.371596336364746;-6.342987537384033;5.366518497467041;-5.313765525817871;-6.343570232391357
956;5.373538017272949;-5.017909526824951;-6.346185207366943;5.432002544403076;-5.113731861114502;-6.346381664276123;5.35215950012207;-5.083667755126953;-6.346072673797607;5.44862174987793;-5.024812698364258;-6.346484661102295
957;5.441120624542236;-4.780134677886963;-6.349374771118164;5.500271320343018;-4.875535011291504;-6.3493876457214355;5.420214653015137;-4.846045017242432;-6.349204063415527;5.516251564025879;-4.7864990234375;-6.349583148956299
958;5.508552074432373;-4.542651653289795;-6.353086948394775;5.568281173706055;-4.637691497802734;-6.353020668029785;5.488046646118164;-4.608687877655029;-6.352815628051758;5.583720684051514;-4.548560619354248;-6.353342533111572
