Dron1_X,Dron1_Y,Dron1_Z,Dron4_X,Dron4_Y,Dron4_Z,Dron2_X,Dron2_Y,Dron2_Z,Dron3_X,Dron3_Y,Dron3_Z
-209.31973,742.6862,1438.2289,-83.79035,871.1802,1433.2798,-168.2402,729.8574,1425.7731,-249.61533,811.4983,1460.2863
-212.76028,744.32385,1437.0304,-87.00494,872.68085,1433.4183,-171.68422,731.52716,1424.5209,-252.97775,813.03925,1459.6282
-215.97215,745.79553,1435.8661,-90.01438,874.02576,1433.4874,-174.8923,733.0254,1423.3362,-256.13046,814.426,1458.9167
-218.95784,747.09827,1434.7352,-92.82401,875.2151,1433.4729,-177.86699,734.34827,1422.2198,-259.07697,815.65796,1458.1432
-221.72052,748.2296,1433.6367,-95.438896,876.2491,1433.363,-180.61157,735.49286,1421.1716,-261.8212,816.73456,1457.2994
-224.26392,749.188,1432.5687,-97.863815,877.12805,1433.1488,-183.12997,736.457,1420.1906,-264.36716,817.65576,1456.3782
-226.59233,749.97235,1431.5289,-100.10326,877.8525,1432.8241,-185.42673,737.2394,1419.275,-266.71912,818.4216,1455.3728
-228.71053,750.5824,1430.5146,-102.161415,878.42285,1432.385,-187.50697,737.83954,1418.4225,-268.88144,819.03235,1454.2777
-230.62373,751.0186,1429.5227,-104.04223,878.83966,1431.8303,-189.37631,738.2581,1417.6296,-270.8586,819.48846,1453.0887
-232.33754,751.282,1428.5497,-105.74939,879.10345,1431.161,-191.04085,738.4964,1416.8925,-272.65512,819.79065,1451.8026
-233.85791,751.3743,1427.592,-107.286446,879.215,1430.3799,-192.50705,738.5567,1416.2064,-274.2756,819.93976,1450.4177
-235.19107,751.29803,1426.646,-108.65683,879.1751,1429.4918,-193.78175,738.442,1415.5665,-275.7246,819.93695,1448.9337
-236.3435,751.0562,1425.7079,-109.86397,878.98486,1428.503,-194.87201,738.15625,1414.9673,-277.0068,819.7835,1447.3519
-237.32184,750.6525,1424.7742,-110.91134,878.6457,1427.421,-195.78513,737.7039,1414.4031,-278.1268,819.48114,1445.6748
-238.13286,750.0912,1423.8414,-111.80255,878.15936,1426.2543,-196.52856,737.0903,1413.868,-279.08926,819.03186,1443.9065
-238.78343,749.37695,1422.9064,-112.54138,877.52814,1425.0121,-197.10983,736.32117,1413.3563,-279.89886,818.438,1442.0527
-239.28044,748.51514,1421.9663,-113.13181,876.75494,1423.7045,-197.53653,735.4029,1412.8617,-280.56027,817.7022,1440.1205
-239.63077,747.5114,1421.0187,-113.57806,875.843,1422.3414,-197.81618,734.3423,1412.3785,-281.07812,816.82776,1438.1178
-239.84128,746.3719,1420.0614,-113.88452,874.7963,1420.9336,-197.95628,733.14655,1411.9011,-281.4571,815.8181,1436.0544
-239.9187,745.10315,1419.093,-114.05585,873.6193,1419.4911,-197.96419,731.8232,1411.4238,-281.70184,814.67737,1433.9407
-239.86969,743.71204,1418.112,-114.09685,872.317,1418.0242,-197.8471,730.37994,1410.9415,-281.81702,813.4099,1431.7881
-239.70074,742.20557,1417.118,-114.01253,870.8949,1416.5426,-197.61212,728.82477,1410.4496,-281.80725,812.0208,1429.6085
-239.41821,740.5911,1416.1104,-113.808075,869.35895,1415.0555,-197.26605,727.1656,1409.9434,-281.67722,810.51544,1427.4143
-239.02832,738.8763,1415.0892,-113.48886,867.71564,1413.5712,-196.81555,725.4106,1409.4191,-281.4316,808.89984,1425.2177
-238.53706,737.0687,1414.055,-113.060425,865.9718,1412.0973,-196.26704,723.5678,1408.8732,-281.07523,807.18054,1423.0309
-237.95035,735.17645,1413.0084,-112.52847,864.1347,1410.6404,-195.62674,721.6453,1408.3026,-280.61295,805.3645,1420.8651
-237.27386,733.20734,1411.9503,-111.89886,862.2119,1409.2057,-194.90059,719.6511,1407.7051,-280.04977,803.4592,1418.7311
-236.51317,731.1694,1410.8817,-111.17756,860.21124,1407.7974,-194.09431,717.59314,1407.0787,-279.39087,801.4726,1416.638
-235.67363,729.0708,1409.804,-110.37066,858.1407,1406.4181,-193.21336,715.47925,1406.4221,-278.64145,799.41284,1414.594
-234.76048,726.91956,1408.7184,-109.48428,856.0084,1405.0695,-192.263,713.31714,1405.7344,-277.80698,797.2885,1412.6056
-233.77878,724.72363,1407.6262,-108.52457,853.8228,1403.7513,-191.24821,711.1143,1405.0151,-276.89285,795.1086,1410.6776
-232.73341,722.491,1406.5288,-107.49754,851.5922,1402.4622,-190.1738,708.8782,1404.2644,-275.9047,792.88184,1408.8132
-231.62912,720.2295,1405.4272,-106.40912,849.32513,1401.1993,-189.0443,706.6158,1403.4828,-274.84805,790.61743,1407.0142
-230.47046,717.9465,1404.323,-105.265,847.02997,1399.9587,-187.86404,704.3341,1402.671,-273.72842,788.32434,1405.2804
-229.26175,715.64935,1403.217,-104.07065,844.71515,1398.7356,-186.63715,702.0398,1401.8303,-272.5513,786.0114,1403.6108
-228.00717,713.345,1402.1104,-102.831245,842.389,1397.5243,-185.36748,699.739,1400.9622,-271.32196,783.6873,1402.0033
-226.71065,711.0398,1401.0042,-101.551605,840.05963,1396.3193,-184.05867,697.43774,1400.0682,-270.0455,781.36017,1400.4546
-225.37589,708.7398,1399.8993,-100.236176,837.735,1395.1151,-182.71414,695.1413,1399.1504,-268.72675,779.0377,1398.9617
-224.00635,706.45013,1398.797,-98.888954,835.4227,1393.9072,-181.33707,692.85455,1398.2109,-267.3702,776.72675,1397.5211
-222.60526,704.1754,1397.6982,-97.51348,833.12976,1392.6924,-179.93033,690.58167,1397.252,-265.98007,774.4334,1396.1301
