27,697,721,26,11,710,726,0.66,1107,576,37,20,1125,586,0.85,1030,559,34,20,1047,569,0.86,683,772,39,15,702,779,0.86,1232,491,36,27,1250,504,0.88,1007,328,34,22,1024,339,0.89
28,694,721,28,11,708,726,0.67,1048,561,39,15,1067,568,0.74,1099,575,43,15,1120,582,0.77,683,773,39,15,702,780,0.87,1242,489,36,25,1260,501,0.87,1023,322,34,21,1040,332,0.88
29,696,722,28,13,710,728,0.79,1078,560,60,25,1108,572,0.86,683,774,39,15,702,781,0.87,1251,487,37,25,1269,499,0.87,1042,312,32,22,1058,323,0.87
30,696,723,27,12,709,729,0.72,684,774,38,15,703,781,0.88,1059,305,33,21,1075,315,0.88,1079,556,59,24,1108,568,0.88,1258,487,39,23,1277,498,0.89
31,694,723,24,13,706,729,0.78,1072,553,51,21,1097,563,0.84,1270,488,35,21,1287,498,0.84,1071,297,34,22,1088,308,0.86,684,774,38,15,703,781,0.87
32,1158,555,35,16,1175,563,0.78,690,724,32,15,706,731,0.87,684,775,38,15,703,782,0.87,1066,540,44,24,1088,552,0.88,1282,485,36,22,1300,496,0.89,1084,291,35,23,1101,302,0.89
33,693,727,26,10,706,732,0.59,1185,552,35,20,1202,562,0.83,1290,486,37,18,1308,495,0.83,685,775,37,15,703,782,0.87,1096,286,35,22,1113,297,0.89,1052,533,51,23,1077,544,0.9
34,687,728,32,12,703,734,0.72,1294,486,39,18,1313,495,0.83,1208,551,36,20,1226,561,0.85,1043,523,47,23,1066,534,0.87,683,776,39,17,702,784,0.88,1110,277,36,25,1128,289,0.89
35,683,729,29,12,697,735,0.67,1304,486,41,16,1324,494,0.78,1234,553,37,15,1252,560,0.81,685,778,37,14,703,785,0.86,1124,270,36,24,1142,282,0.88,1034,516,47,24,1057,528,0.9
36,680,730,32,12,696,736,0.64,1316,484,34,13,1333,490,0.75,1262,553,31,13,1277,559,0.79,685,778,37,15,703,785,0.85,1137,262,37,24,1155,274,0.89,1024,505,47,27,1047,518,0.92
37,676,731,28,11,690,736,0.64,1322,479,33,17,1338,487,0.81,1291,550,31,16,1306,558,0.84,685,778,37,16,703,786,0.88,1153,253,37,27,1171,266,0.91,1010,496,47,29,1033,510,0.92
38,669,732,30,11,684,737,0.74,1330,476,38,18,1349,485,0.84,1320,548,28,17,1334,556,0.85,685,780,37,14,703,787,0.86,1162,246,40,28,1182,260,0.91,994,485,51,34,1019,502,0.94
39,660,733,29,12,674,739,0.81,686,781,36,13,704,787,0.84,1340,544,28,19,1354,553,0.85,1336,473,39,21,1355,483,0.86,1177,235,39,32,1196,251,0.92,982,476,49,37,1006,494,0.94
40,652,733,36,14,670,740,0.85,684,782,38,13,703,788,0.85,1365,541,28,21,1379,551,0.85,1343,469,38,23,1362,480,0.88,1190,227,38,34,1209,244,0.91,968,466,49,42,992,487,0.94
