cam_name;cam_x[m];cam_y[m];cam_z[m];cam_or_x[rad];cam_or_y[rad];cam_or_z[rad];fov;width;height;fps;;;;;
cam1;-1.2013207292643442;2.039515014286419;5.077728028995212;-1.8026705988485245;-0.7618738991837587;-0.538824557355862;79.4;1920;1080;25;;;;;
cam2;1.077526134673436;2.0291395588319143;5.062313412069847;-0.8662497972366652;-2.0941582584613276;-1.467028536539264;79.4;1920;1080;25;;;;;
cam3;-0.13561198316375808;1.6715399151065584;4.078970277030545;-1.8067184776948761;0.7468810573167098;0.5227109010949362;79.4;1920;1080;25;;;;;
cam4;-1.0816523126622775;1.9807591828634983;4.929981310407324;-0.8668060407249684;2.0935742612261063;1.4666758533125859;79.4;1920;1080;25;;;;;
cam5;-0.004123987037454078;1.2793840423936957;3.0188598831088767;-1.4623839877908202;1.4627376761871063;1.0226962604199374;79.4;1920;1080;25;;;;;
cam6;-0.0013922676004788537;1.287634850535804;3.024827991641368;-1.4606812716999797;-1.461821915857785;-1.0240855834618332;79.4;1920;1080;25;;;;;
cam7;-0.0027245500318145393;1.5173313594892937;3.660493540614533;0.00017837838953839875;-2.5734415390979914;-1.8021687233491757;79.4;1920;1080;25;;;;;
cam8;-0.0002888946466459582;1.8248383941519721;4.5073604939034775;-1.9198408537170188;-0.00044020418156715885;-0.000566627835743232;79.4;1920;1080;25;;;;;
