id;name;x[m];y[m];z[m];or_x[rad];or_y[rad];or_z[rad];or_q_x;or_q_y;or_q_z;or_q_w
74;znacznik74;3.799999952316284;0.38999998569488525;-0.9399999976158142;0.0;0.0;1.5707961239789638;-0.0;0.0;0.7071067094802856;0.7071067094802856
75;znacznik75;3.799999952316284;0.9099999666213989;-0.9399999976158142;0.0;0.0;1.5707961239789638;-0.0;0.0;0.7071067094802856;0.7071067094802856
76;znacznik76;3.799999952316284;1.7999999523162842;-2.3499999046325684;0.0;0.0;1.5707961239789638;-0.0;0.0;0.7071067094802856;0.7071067094802856
77;znacznik77;3.799999952316284;1.7999999523162842;-1.5899999141693115;0.0;0.0;1.5707961239789638;-0.0;0.0;0.7071067094802856;0.7071067094802856
78;znacznik78;3.799999952316284;1.7999999523162842;-0.9399999976158142;0.0;0.0;1.5707961239789638;-0.0;0.0;0.7071067094802856;0.7071067094802856
79;znacznik79;0.3199999928474426;5.420000076293945;-0.9599999785423279;-3.141591938334056;1.6940658945086007e-21;2.3841842278219338e-07;-1.0;-1.1920921139108032e-07;4.26325370405517e-14;4.26325370405517e-14
80;znacznik80;-0.38999998569488525;5.420000076293945;-0.9599999785423279;-3.141591938334056;3.3881317890172014e-21;2.443460118684352e-07;-1.0;-1.2217300593420077e-07;4.369247341316426e-14;4.369247341316426e-14
81;znacznik81;-0.949999988079071;-4.579999923706055;-1.159999966621399;0.0;0.0;0.0;-0.0;0.0;0.0;0.0
82;znacznik82;-0.1899999976158142;-4.579999923706055;-1.159999966621399;0.0;0.0;0.0;-0.0;0.0;0.0;0.0
83;znacznik83;0.8100000023841858;-4.549999713897705;-1.159999966621399;0.0;0.0;0.0;-0.0;0.0;0.0;0.0
84;znacznik84;-0.949999988079071;-4.579999923706055;-0.5;0.0;0.0;0.0;-0.0;0.0;0.0;0.0
85;znacznik85;-0.1899999976158142;-4.579999923706055;-0.5;0.0;0.0;0.0;-0.0;0.0;0.0;0.0
86;znacznik86;0.8100000023841858;-4.549999713897705;-0.5;0.0;0.0;0.0;-0.0;0.0;0.0;0.0
