id;pos_x[m];pos_y[m];pos_z[m];or_x[rad];or_y[rad];or_z[rad];or_q_x;or_q_y;or_q_z;or_q_w
65;1.2607028484344482;-0.43566325306892395;-0.5555582046508789;0.005932992655375997;-0.0007632967022530127;1.7447330093463742;0.002199786715209484;0.00202649156562984;0.7658500671386719;0.6430120468139648
66;1.2540690898895264;-0.411831796169281;-0.5630905032157898;0.004284829601283279;-0.0005550381836188533;1.74626640938087;0.0015890224603936076;0.0014635433908551931;0.7663441300392151;0.6424264311790466
67;1.2365330457687378;-0.39270734786987305;-0.594569206237793;0.09331593269980208;-0.009652373987610728;1.7468554833479226;0.0336480587720871;0.03265555202960968;0.7658361792564392;0.641323983669281
68;1.2232248783111572;-0.3818144202232361;-0.5946910977363586;0.1416898115400339;-0.019782415252337003;1.7462551800050323;0.05303372070193291;0.04790497198700905;0.7648320198059082;0.640253484249115
69;1.1726919412612915;-0.3443850874900818;-0.644762396812439;0.31986840758817653;-0.04430422473525951;1.755641804753955;0.11853447556495667;0.10852153599262238;0.7615971565246582;0.6278076767921448
70;1.148655652999878;-0.3283965289592743;-0.6733335256576538;0.3784462026069954;-0.0551209383253375;1.768733614280629;0.14010128378868103;0.1282862424850464;0.7627037167549133;0.6182210445404053
71;1.106731653213501;-0.3067842423915863;-0.6841423511505127;0.4129944763023657;-0.06645001788328414;1.7971847231605613;0.1530458927154541;0.14009328186511993;0.7696466445922852;0.6038169264793396
72;1.0751467943191528;-0.28131935000419617;-0.7222156524658203;0.30895406624582944;-0.06400690147582652;1.8459636338369634;0.11801207065582275;0.10354943573474884;0.7904766201972961;0.5920281410217285
73;1.0564050674438477;-0.2673364281654358;-0.7521559000015259;0.25404023894064354;-0.06280790486150369;1.8769061464817576;0.09995853155851364;0.08372611552476883;0.8021026253700256;0.5827774405479431
74;1.0165573358535767;-0.24685430526733398;-0.7845401763916016;0.18404550757642024;-0.057686689395630215;1.9297962538768123;0.07591669261455536;0.059149205684661865;0.8196817636489868;0.5646767020225525
75;0.95146644115448;-0.22169995307922363;-0.8220256567001343;0.11965445307895313;-0.04800653988299791;1.9978925495325348;0.05249551683664322;0.03729848563671112;0.8399315476417542;0.5388580560684204
76;0.8938066959381104;-0.20115195214748383;-0.8597748875617981;0.08455576841128114;-0.03921757695698671;2.0449341883935728;0.03874510899186134;0.02585059031844139;0.8529021143913269;0.519989013671875
77;0.855670154094696;-0.18958605825901031;-0.8694010972976685;0.06909703594143297;-0.033970706971389965;2.0675985516514914;0.03225274011492729;0.02099219337105751;0.8589122295379639;0.5106748938560486
78;0.7732071280479431;-0.16194097697734833;-0.9212352633476257;0.04400976494599823;-0.024448746750110415;2.1132005969449104;0.021461868658661842;0.013145651668310165;0.8705448508262634;0.4914449155330658
79;0.7244759798049927;-0.1468617469072342;-0.9411405920982361;0.034197769449051826;-0.019993898344431698;2.1333283337210696;0.017010606825351715;0.010141988284885883;0.8755047917366028;0.48280322551727295
80;0.6583467125892639;-0.12681712210178375;-0.9644399881362915;0.02449361551742481;-0.015113470874460033;2.1559302615189053;0.01245082262903452;0.007213866338133812;0.8809494376182556;0.4729914963245392
81;0.6167808175086975;-0.11209376156330109;-0.999183714389801;0.01981205739709515;-0.012641427542373934;2.1701529049213675;0.010213756002485752;0.005809341091662645;0.8843072652816772;0.4667574465274811
82;0.5490031242370605;-0.09322964400053024;-1.0053119659423828;0.01422880505145753;-0.00938987604735085;2.18529625943148;0.007441801019012928;0.004156142473220825;0.8878316283226013;0.46008944511413574
83;0.4980335235595703;-0.07716090977191925;-1.0264582633972168;0.011103462070735046;-0.007505296763487234;2.1963254989338874;0.005868494510650635;0.0032347505912184715;0.8903619647026062;0.45520392060279846
84;0.4119757413864136;-0.05447239428758621;-1.01838219165802;0.007391324801284933;-0.005120753131098046;2.2090152265009873;0.003948485944420099;0.0021500359289348125;0.8932381272315979;0.4495612382888794
85;0.3602970838546753;-0.03954194858670235;-1.0236562490463257;0.0057419119869428735;-0.004065513648067372;2.2184207822707145;0.0030986438505351543;0.0016651719342917204;0.8953443765640259;0.4453606903553009
86;0.2735724449157715;-0.016890255734324455;-1.0079454183578491;0.00373203381653956;-0.0028368234562318514;2.249024606220839;0.0020848882850259542;0.001071042730472982;0.9020558595657349;0.43161290884017944
87;0.23058375716209412;-0.002255450701341033;-1.028027057647705;0.0029477229588469314;-0.0024170876994391967;2.281847006197169;0.0017128263134509325;0.0008360999636352062;0.9090178608894348;0.4167528450489044
88;0.19125935435295105;0.006708980072289705;-1.0073866844177246;0.0024193256765051028;-0.0020889042896504585;2.3055912176468873;0.0014455693308264017;0.0006815342931076884;0.9139017462730408;0.40593254566192627
89;0.10928069800138474;0.033599853515625;-1.031700611114502;0.0014882014472310389;-0.0015909667305765002;2.4007045156364737;0.0010109090944752097;0.00040563743095844984;0.9321662783622742;0.362028568983078
90;0.035131581127643585;0.052469320595264435;-1.0059287548065186;0.0009504559709403053;-0.0012222526013461667;2.4810384495912263;0.0007322152378037572;0.00025135165196843445;0.945952296257019;0.3243047595024109
91;0.0005265926592983305;0.06348493695259094;-1.011576533317566;0.0007452185417213418;-0.001085400350336219;2.5342245415704134;0.0006292910547927022;0.0001932712912093848;0.954241156578064;0.29903745651245117
92;-0.11247581988573074;0.09567353129386902;-0.9957335591316223;0.00031107421394965215;-0.0007169245582878373;2.7051144805988936;0.0003836351097561419;7.423685019602999e-05;0.9762800931930542;0.21651069819927216
93;-0.17751529812812805;0.11532875895500183;-0.9934970140457153;0.0001589937606793149;-0.0005550383819738773;2.8206386264853966;0.00028665614081546664;3.4130898711737245e-05;0.9871510863304138;0.1597890555858612
94;-0.23851361870765686;0.1315349042415619;-0.9721825122833252;7.410357121736538e-05;-0.0004303455386897818;2.9191460087376377;0.00021795574866700917;1.2939923180965707e-05;0.9938210844993591;0.11099415272474289
95;-0.2990282475948334;0.15104010701179504;-0.9765616655349731;9.223828723388444e-06;-0.00032818319451496784;3.0451431102872135;0.0001641231356188655;-3.3036612876458094e-06;0.9988374710083008;0.04820609092712402
96;-0.36015573143959045;0.1661369502544403;-0.9435946345329285;-2.1305289667387238e-05;-0.0002460479883520769;-3.1406212170605032;-0.00012302915274631232;1.0592888429528102e-05;-0.9999998807907104;0.00048571694060228765
